id,NB118,Z,Y,J,Average
1,3.648,3.628,3.630,3.717,3.66
2,4.280,4.251,4.206,4.247,4.25
3,3.957,3.947,3.858,4.045,3.95
4,4.154,4.102,4.041,4.335,4.16
5,4.160,4.139,4.125,4.517,4.24
6,4.063,4.074,4.110,4.179,4.11
7,3.882,3.780,3.787,3.903,3.84
8,4.153,4.216,4.176,4.326,4.22
9,4.639,4.500,4.396,4.589,4.53
10,3.964,3.940,3.867,4.107,3.97
11,4.594,4.492,4.499,4.876,4.62
12,4.018,3.886,3.898,4.006,3.95
13,5.140,5.728,5.764,6.054,5.67
14,4.725,4.695,4.774,4.911,4.78
15,4.088,3.754,3.977,4.152,3.99
16,5.608,4.634,4.180,5.426,4.96
