id,NB118,Z,Y,J
1,22.903,22.782,22.791,27.231
2,22.394,26.694,22.007,26.665
3,20.708,24.783,20.186,25.402
4,21.734,25.758,21.145,27.222
5,21.770,25.989,21.586,28.364
6,21.258,25.579,21.504,26.241
7,24.378,23.737,19.814,24.505
8,21.732,26.474,21.853,27.160
9,19.418,18.838,18.401,19.209
10,24.888,24.740,24.280,25.786
11,24.039,23.504,23.543,25.512
12,25.233,24.403,20.398,25.153
13,26.898,29.973,24.128,25.341
14,19.780,19.652,14.989,20.558
15,17.113,19.643,16.650,17.380
16,23.477,19.398,17.497,22.714
